1	300	33390.45991928761
2	601	32795.71138401346
3	902	33064.84738826328
4	1203	33481.51217361298
5	1504	34839.66125797451
6	1805	33575.868273606546
7	2106	33577.131649866526
8	2407	32776.693571091535
9	2708	35600.62010183547
10	3009	31993.166523522843
11	3310	33193.71507723188
12	3611	34553.04771471317
13	3912	33982.87892344567
14	4213	34431.75537009115
15	4514	36436.5144192648
16	4815	34609.38450340987
17	5116	33180.41581559622
18	5417	33500.9235489482
19	5718	33161.06969316957
20	6019	33249.50181447675
21	6320	34412.64331632024
22	6621	32456.931888966195
23	6922	33069.03472437165
24	7223	33062.190211969726
25	7524	34545.26885590683
26	7825	31964.68135496686
27	8126	32538.561619931315
28	8427	33954.41510928764
29	8728	33414.097738804245
30	9029	33344.37297040389
31	9330	31819.848382473105
32	9631	32775.3197242365
33	9932	31588.524076180154
34	10233	30544.040388955927
35	10534	32941.79283493498
36	10835	32987.87069226489
37	11136	32571.92280920267
38	11437	33172.03962511881
39	11738	32710.053183702734
40	12039	31730.655510564273
